title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model
"Beggar leaning on a stick, facing left",220051,Rembrandt,1630.0,https://uploads5.wikiart.org/images/rembrandt/beggar-leaning-on-a-stick-facing-left-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar man and beggar woman conversing,220052,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/beggar-man-and-beggar-woman-conversing-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar seated warming his hands at a chafing dish,220056,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/beggar-seated-warming-his-hands-at-a-chafing-dish-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar Woman Leaning on a Stick,220059,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/beggar-woman-leaning-on-a-stick-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
"Bust of an old man with a flowing beard, the head bowed forward, the left shoulder unshaded",220076,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/bust-of-an-old-man-with-a-flowing-beard-the-head-bowed-forward-the-left-shoulder-unshaded-1630.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
"Head and Bust, Full Face",220151,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/head-and-bust-full-face-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Jeremiah mourning over the Destruction of Jerusalem,220179,Rembrandt,1630.0,https://uploads3.wikiart.org/00142/images/57726d84edc2cb3880b48b73/rembrandt-harmensz-van-rijn-jeremia-treurend-over-de-verwoesting-van-jeruzalem-google-art-project.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Old Woman in Prayer,220280,Rembrandt,1630.0,https://uploads5.wikiart.org/images/rembrandt/old-woman-in-prayer-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
"Ragged peasant with his hands behind him, holding a stick",220391,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/ragged-peasant-with-his-hands-behind-him-holding-a-stick-1630.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Self-portrait,220432,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait,220433,Rembrandt,1630.0,https://uploads1.wikiart.org/images/rembrandt/self-portrait-1630-1.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait in a fur cap bust,220475,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-in-a-fur-cap-bust-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait open mouthed,220486,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/self-portrait-open-mouthed-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
"Self-portrait, Frowning",220506,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-frowning-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
St. Jerome kneeling,220526,Rembrandt,1630.0,https://uploads4.wikiart.org/images/rembrandt/st-jerome-kneeling-1630.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
St. Paul at his Writing Desk,220532,Rembrandt,1630.0,https://uploads4.wikiart.org/images/rembrandt/st-paul-at-his-writing-desk-1630.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The Flight into Egypt,220600,Rembrandt,1630.0,https://uploads7.wikiart.org/images/rembrandt/the-flight-into-egypt-1630.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The Raising of Lazarus,220641,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/the-raising-of-lazarus-1630.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
The raising of Lazarus,220642,Rembrandt,1630.0,https://uploads1.wikiart.org/images/rembrandt/the-raising-of-lazarus-1630-1.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Woman with a Pink,220736,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/woman-with-a-pink-1630.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Anna and the Blind Tobit,220036,Rembrandt,1630.0,https://uploads5.wikiart.org/images/rembrandt/anna-and-the-blind-tobit.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
Beggar man and woman behind a bank,220055,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/beggar-man-and-woman-behind-a-bank.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Bust of a Bearded Old Man,220068,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/bust-of-a-bearded-old-man.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Bust of a laughing young man,220069,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/bust-of-a-laughing-young-man.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
Bust of an Old Man in a Fur Cap,220074,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/bust-of-an-old-man-in-a-fur-cap.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
The Artist`s Father,220566,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/the-artist-s-father.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Old Soldier,220279,Rembrandt,1630.0,https://uploads1.wikiart.org/images/rembrandt/old-soldier.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Portrait of Mother of Rembrandt,220368,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/portrait-of-mother-of-rembrandt.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
Portrait of Rembrandt's Father,220377,Rembrandt,1630.0,https://uploads2.wikiart.org/images/rembrandt/portrait-of-rembrandt-s-father.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Self-portrait frowning Bust,220472,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-frowning-bust.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait with a broad nose,220488,Rembrandt,1630.0,https://uploads3.wikiart.org/images/rembrandt/self-portrait-with-a-broad-nose.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
The circumcision small plate,220586,Rembrandt,1630.0,https://uploads0.wikiart.org/images/rembrandt/the-circumcision-small-plate.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0
A man making water,219956,Rembrandt,1631.0,https://uploads4.wikiart.org/images/rembrandt/a-man-making-water-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Man with a Short Beard and Embroidered Cloak,219961,Rembrandt,1631.0,https://uploads5.wikiart.org/images/rembrandt/a-man-with-a-short-beard-and-embroidered-cloak-1631.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
A scholar,219972,Rembrandt,1631.0,https://uploads4.wikiart.org/images/rembrandt/a-scholar-1631.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
A woman making water,219989,Rembrandt,1631.0,https://uploads6.wikiart.org/images/rembrandt/a-woman-making-water-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
An Old Man Seen from Behind,220026,Rembrandt,1631.0,https://uploads4.wikiart.org/images/rembrandt/an-old-man-seen-from-behind-1631.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Beggar Man and Woman,220054,Rembrandt,1631.0,https://uploads6.wikiart.org/00286/images/rembrandt/1630-1631-beggar-man-and-woman.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Beggar with his left hand extended,220058,Rembrandt,1631.0,https://uploads2.wikiart.org/images/rembrandt/beggar-with-his-left-hand-extended-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Bust of an Old Man,220073,Rembrandt,1631.0,https://uploads4.wikiart.org/images/rembrandt/bust-of-an-old-man-1631.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Bust of an Old Man with a Beret,220075,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/bust-of-an-old-man-with-a-beret-1631.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Christ on the Cross,220099,Rembrandt,1631.0,https://uploads5.wikiart.org/images/rembrandt/christ-on-the-cross-1631.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
Diana at the bath,220122,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/diana-at-the-bath-1631.jpg!Large.jpg,rembrandt,mythological painting,,Baroque,,1.0
Head of an Old Man,220152,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/head-of-an-old-man.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Old woman seated in a cottage with a string of onions on the wall,220282,Rembrandt,1631.0,https://uploads6.wikiart.org/images/rembrandt/old-woman-seated-in-a-cottage-with-a-string-of-onions-on-the-wall-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Peasant with his hands behind his back,220286,Rembrandt,1631.0,https://uploads6.wikiart.org/images/rembrandt/peasant-with-his-hands-behind-his-back-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Philosopher Reading,220293,Rembrandt,1631.0,https://uploads6.wikiart.org/00363/images/rembrandt/a8d7bbee3ecdb52ae0262644033dc029.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
Portrait of Nicolaes Ruts,220369,Rembrandt,1631.0,https://uploads2.wikiart.org/images/rembrandt/portrait-of-nicolaes-ruts-1631.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
"Rembrandt`s Mother in a Black Dress, as Small Upright Print",220396,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/rembrandt-s-mother-in-a-black-dress-as-small-upright-print-1631.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0
"Rembrandt`s Mother, Seated, Looking to the Right",220398,Rembrandt,1631.0,https://uploads5.wikiart.org/images/rembrandt/rembrandt-s-mother-seated-looking-to-the-right-1631.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Seated Female Nude,220426,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/seated-female-nude.jpg!Large.jpg,rembrandt,nude painting (nu),,Baroque,,1.0
Self-portrait in a heavy fur cap bust,220477,Rembrandt,1631.0,https://uploads5.wikiart.org/images/rembrandt/self-portrait-in-a-heavy-fur-cap-bust-1631.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait in a soft hat and embroidered cloak,220479,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-in-a-soft-hat-and-embroidered-cloak-1631.jpg!Large.jpg,rembrandt,self-portrait,,Baroque,,1.0
Self-portrait in oriental attire with poodle,220481,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/self-portrait-in-oriental-attire-with-poodle-1631.jpg!Large.jpg,rembrandt,self-portrait,,Baroque,,1.0
Self-portrait with Beret and Gold Chain,220491,Rembrandt,1631.0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-with-beret-and-gold-chain-1631.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
Self-portrait with long bushy hair,220498,Rembrandt,1631.0,https://uploads2.wikiart.org/images/rembrandt/self-portrait-with-long-bushy-hair-1631.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0
The barrel organ player (Polander standing with arms folded),220572,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/the-barrel-organ-player-polander-standing-with-arms-folded-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
The blind fiddler,220576,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/the-blind-fiddler-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
The Prophetess Anna (Rembrandt`s Mother),220640,Rembrandt,1631.0,https://uploads6.wikiart.org/images/rembrandt/the-prophetess-anna-rembrandt-s-mother-1631.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Andromeda,220034,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/andromeda.jpg!Large.jpg,rembrandt,mythological painting,,Baroque,,1.0
Minerva,220242,Rembrandt,1631.0,https://uploads6.wikiart.org/images/rembrandt/minerva.jpg!Large.jpg,rembrandt,mythological painting,,"Baroque, Tenebrism",,1.0
"Old Man Seated in an Armchair, Full length",220272,Rembrandt,1631.0,https://uploads4.wikiart.org/images/rembrandt/old-man-seated-in-an-armchair-full-length.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Portrait of the Artist's Mother,220381,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/portrait-of-the-artist-s-mother.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Old Man with a Black Hat and Gorget,220275,Rembrandt,1631.0,https://uploads7.wikiart.org/images/rembrandt/old-man-with-a-black-hat-and-gorget.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
"Old Man with Flowing Beard, Looking down Left",220276,Rembrandt,1631.0,https://uploads7.wikiart.org/images/rembrandt/old-man-with-flowing-beard-looking-down-left.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Simeon's Song of Praise,220512,Rembrandt,1631.0,https://uploads0.wikiart.org/00268/images/rembrandt/rembrandt-harmensz-van-rijn-145-1-2.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
The Abduction of Proserpina,220549,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/the-abduction-of-proserpina.jpg!Large.jpg,rembrandt,mythological painting,,Baroque,,1.0
Simeon's song of praise,9223372032559826428,Rembrandt,1631.0,https://uploads7.wikiart.org/00164/images/rembrandt/rembrandt-harmensz-van-rijn-145-1.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
Portrait of a Man,9223372032559849044,Rembrandt,1632.0,https://uploads2.wikiart.org/00286/images/rembrandt/portrait-of-a-man.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
A Beggar Standing and Leaning on a Stick,219941,Rembrandt,1632.0,https://uploads8.wikiart.org/images/rembrandt/a-beggar-standing-and-leaning-on-a-stick-1632.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
A Portrait of a Young Woman,219968,Rembrandt,1632.0,https://uploads4.wikiart.org/images/rembrandt/a-portrait-of-a-young-woman-1632.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
A Young Woman in Profile with a Fan,220001,Rembrandt,1632.0,https://uploads3.wikiart.org/images/rembrandt/a-young-woman-in-profile-with-a-fan-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Adoration of the magi,220014,Rembrandt,1632.0,https://uploads7.wikiart.org/images/rembrandt/adoration-of-the-magi-1632.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0
"An Old Man with a Beard, Fur Cap and a Velvet Cloak",220028,Rembrandt,1632.0,https://uploads0.wikiart.org/images/rembrandt/an-old-man-with-a-beard-fur-cap-and-a-velvet-cloak-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Bust of a Young Woman,220070,Rembrandt,1632.0,https://uploads7.wikiart.org/images/rembrandt/bust-of-a-young-woman-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Bust of a Young Woman in a Cap,220071,Rembrandt,1632.0,https://uploads7.wikiart.org/images/rembrandt/bust-of-a-young-woman-in-a-cap-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Jacob III de Gheyn,220167,Rembrandt,1632.0,https://uploads4.wikiart.org/images/rembrandt/jacob-iii-de-gheyn-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Joris de Caullery,220190,Rembrandt,1632.0,https://uploads3.wikiart.org/images/rembrandt/joris-de-caullery-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
"Man in Oriental Costume (""The Noble Slav"" or ""Man in a Turban"")",220199,Rembrandt,1632.0,https://uploads7.wikiart.org/images/rembrandt/knee-length-figure-of-a-man-in-an-oriental-dress-1632.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Man Sharpening a Quill,220230,Rembrandt,1632.0,https://uploads8.wikiart.org/images/rembrandt/man-sharpening-a-quill-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Man Standing Up,220231,Rembrandt,1632.0,https://uploads1.wikiart.org/images/rembrandt/man-standing-up-1632.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0
Minerva,220240,Rembrandt,1632.0,https://uploads2.wikiart.org/images/rembrandt/minerva-1632.jpg!Large.jpg,rembrandt,mythological painting,,Baroque,,1.0
Old man Dressed as Saint Paul,220268,Rembrandt,1632.0,https://uploads6.wikiart.org/images/rembrandt/old-man-dressed-as-saint-paul-1632.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0
Philosopher in Meditation,220292,Rembrandt,1632.0,https://uploads2.wikiart.org/images/rembrandt/philosopher-in-meditation-1632.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0
