title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,image_path,image_size,image_width,image_height,image_new_size,image_new_width,image_new_height,image_new_path
Apotheosis of the Rose,276134,Stella Joseph,,https://uploads7.wikiart.org/images/joseph-stella/apotheosis-of-the-rose.jpg!Large.jpg,joseph-stella,flower painting,,Precisionism,,1.0,wikiart-master/wiki_art_saved/images/joseph-stella/unknown-year/276134.jpg,"(1119, 1959)",1119,1959,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/joseph-stella_unknown-year_276134.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/joseph-stella_unknown-year_276134.jpg
Farewell to the soldier,9223372032559899682,Streng Henryk,1931.0,https://uploads3.wikiart.org/00395/images/henryk-streng/art-lviv-online-marek-wlodarski-henryk-streng-proshchannia.jpg!Large.jpg,henryk-streng,genre painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/henryk-streng/1931/9223372032559899682.jpg,"(882, 1063)",882,1063,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/henryk-streng_1931_9223372032559899682.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/henryk-streng_1931_9223372032559899682.jpg
Norwegian Landscape With Angler,9223372032559859562,Achenbach Andreas,,https://uploads1.wikiart.org/00313/images/andreas-achenbach/andreas-achenbach-norwegische-landschaft-mit-angler.jpg!Large.jpg,andreas-achenbach,landscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/andreas-achenbach/unknown-year/9223372032559859562.jpg,"(1200, 901)",1200,901,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/andreas-achenbach_unknown-year_9223372032559859562.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/andreas-achenbach_unknown-year_9223372032559859562.jpg
An Allegory,9223372032559845597,Solomon Solomon Joseph,,https://uploads7.wikiart.org/00267/images/solomon-joseph-solomon/an-allegory.jpg!Large.jpg,solomon-joseph-solomon,allegorical painting,,Academicism,,1.0,wikiart-master/wiki_art_saved/images/solomon-joseph-solomon/unknown-year/9223372032559845597.jpg,"(704, 1200)",704,1200,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/solomon-joseph-solomon_unknown-year_9223372032559845597.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/solomon-joseph-solomon_unknown-year_9223372032559845597.jpg
Head of Marat,197843,David Jacques-Louis ,1793.0,https://uploads0.wikiart.org/images/jacques-louis-david/head-of-marat-1793.jpg!Large.jpg,jacques-louis-david,portrait,,Neoclassicism,,1.0,wikiart-master/wiki_art_saved/images/jacques-louis-david/1793/197843.jpg,"(774, 953)",774,953,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jacques-louis-david_1793_197843.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jacques-louis-david_1793_197843.jpg
Chamber of Torture,282629,Souto Arturo,1962.0,https://uploads7.wikiart.org/images/arturo-souto/chamber-of-torture-1962.jpg!Large.jpg,arturo-souto,genre painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/arturo-souto/1962/282629.jpg,"(800, 665)",800,665,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arturo-souto_1962_282629.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arturo-souto_1962_282629.jpg
Untitled,283801,Still Clyfford,1960.0,https://uploads8.wikiart.org/images/clyfford-still/untitled-1960.jpg!Large.jpg,clyfford-still,abstract,,Color Field Painting,,1.0,wikiart-master/wiki_art_saved/images/clyfford-still/1960/283801.jpg,"(654, 475)",654,475,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/clyfford-still_1960_283801.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/clyfford-still_1960_283801.jpg
Arable land corridors in the early spring.,260585,Böcklin Arnold,,https://uploads0.wikiart.org/images/arnold-b-cklin/arable-land-corridors-in-the-early-spring.jpg!Large.jpg,arnold-bocklin,landscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/arnold-bocklin/unknown-year/260585.jpg,"(640, 445)",640,445,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_unknown-year_260585.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_unknown-year_260585.jpg
Calais. Hôtel de Guise,360635,David Cox,1832.0,https://uploads7.wikiart.org/images/david-cox/calais-h-tel-de-guise-1832.jpg!Large.jpg,david-cox,cityscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/david-cox/1832/360635.jpg,"(1530, 1138)",1530,1138,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/david-cox_1832_360635.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/david-cox_1832_360635.jpg
The Nativity,269587,David Gerard,1490.0,https://uploads7.wikiart.org/images/gerard-david/the-nativity-1.jpg!Large.jpg,gerard-david,religious painting,,Northern Renaissance,,1.0,wikiart-master/wiki_art_saved/images/gerard-david/1490/269587.jpg,"(660, 900)",660,900,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/gerard-david_1490_269587.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/gerard-david_1490_269587.jpg
The purple noon’s transparent might,338845,Streeton Arthur,1896.0,https://uploads0.wikiart.org/images/arthur-streeton/the-purple-noon-s-transparent-might-1896.jpg!Large.jpg,arthur-streeton,landscape,,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/arthur-streeton/1896/338845.jpg,"(600, 599)",600,599,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arthur-streeton_1896_338845.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arthur-streeton_1896_338845.jpg
A Lovers' Spat,363495,Stone Marcus ,1884.0,https://uploads2.wikiart.org/images/marcus-stone/a-lovers-spat-1884.jpg!Large.jpg,marcus-stone,genre painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/marcus-stone/1884/363495.jpg,"(465, 1083)",465,1083,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/marcus-stone_1884_363495.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/marcus-stone_1884_363495.jpg
The Triumph of Venus,9223372032559865739,Spranger Bartholomeus,1600.0,https://uploads8.wikiart.org/00327/images/bartholomaus-spranger/bartholomeus-spranger-the-triumph-of-venus.jpeg!Large.jpeg,bartholomaus-spranger,mythological painting,,Mannerism (Late Renaissance),,1.0,wikiart-master/wiki_art_saved/images/bartholomaus-spranger/1600/9223372032559865739.jpg,"(1979, 3490)",1979,3490,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/bartholomaus-spranger_1600_9223372032559865739.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/bartholomaus-spranger_1600_9223372032559865739.jpg
"Crucifixion, Sketch #3",342032,Spencer Robert ,1930.0,https://uploads2.wikiart.org/images/robert-spencer/crucifixion-sketch-3-1930.jpg!Large.jpg,robert-spencer,religious painting,,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/robert-spencer/1930/342032.jpg,"(704, 605)",704,605,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/robert-spencer_1930_342032.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/robert-spencer_1930_342032.jpg
Mademoiselle Guimard,9223372032559842514,David Jacques-Louis ,1773.0,https://uploads5.wikiart.org/00250/images/jacques-louis-david/mademoiselle-guimard-as-terpsichore-by-jacques-louis-david.jpg!Large.jpg,jacques-louis-david,portrait,,Neoclassicism,,1.0,wikiart-master/wiki_art_saved/images/jacques-louis-david/1773/9223372032559842514.jpg,"(1959, 3200)",1959,3200,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jacques-louis-david_1773_9223372032559842514.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jacques-louis-david_1773_9223372032559842514.jpg
Conference,260403,Bloch Albert,,https://uploads3.wikiart.org/images/albert-bloch/conference.jpg!Large.jpg,albert-bloch,symbolic painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/albert-bloch/unknown-year/260403.jpg,"(800, 617)",800,617,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/albert-bloch_unknown-year_260403.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/albert-bloch_unknown-year_260403.jpg
Saint Agnes,9223372032559883443,￿,,https://uploads7.wikiart.org/00380/images/juan-del-castillo/e7fe81ad1f3d9a9a8f373ab3a00d1130.jpg!Large.jpg,juan-del-castillo,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/juan-del-castillo/unknown-year/9223372032559883443.jpg,"(563, 452)",563,452,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/juan-del-castillo_unknown-year_9223372032559883443.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/juan-del-castillo_unknown-year_9223372032559883443.jpg
The Emigrant Ship,9223372032559867299,Absolon John,,https://uploads0.wikiart.org/00330/images/john-absolon/the-emigrant-ship.png!Large.png,john-absolon,genre painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/john-absolon/unknown-year/9223372032559867299.jpg,"(500, 321)",500,321,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/john-absolon_unknown-year_9223372032559867299.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/john-absolon_unknown-year_9223372032559867299.jpg
Neon,332413,Bertholle Jean,,https://uploads8.wikiart.org/images/jean-bertholle/neon.jpg!Large.jpg,jean-bertholle,abstract,,Tachisme,,1.0,wikiart-master/wiki_art_saved/images/jean-bertholle/unknown-year/332413.jpg,"(640, 396)",640,396,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jean-bertholle_unknown-year_332413.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jean-bertholle_unknown-year_332413.jpg
Collage 49,9223372032559901438,￿,2022.0,https://uploads0.wikiart.org/00401/images/agnes-von-angelis-0/49-sign-lord-fontleroy-h-785-px-b-631-px.JPG!Large.JPG,agnes-von-angelis-0,"allegorical painting, figurative",,"Art Nouveau (Modern), Symbolism",,1.0,wikiart-master/wiki_art_saved/images/agnes-von-angelis-0/2022/9223372032559901438.jpg,"(631, 785)",631,785,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-0_2022_9223372032559901438.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-0_2022_9223372032559901438.jpg
Hampton Roads,285515,Stella Frank,1961.0,https://uploads2.wikiart.org/images/frank-stella/hampton-roads-1961.jpg!Large.jpg,frank-stella,abstract,,Minimalism,,1.0,wikiart-master/wiki_art_saved/images/frank-stella/1961/285515.jpg,"(993, 1024)",993,1024,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/frank-stella_1961_285515.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/frank-stella_1961_285515.jpg
Portrait of Shamim Bahar,9223372032559810394,Aghdashloo Aydin,,https://uploads8.wikiart.org/00109/images/aydin-aghdashloo/apo011.jpg!Large.jpg,aydin-aghdashloo,portrait,,,,1.0,wikiart-master/wiki_art_saved/images/aydin-aghdashloo/unknown-year/9223372032559810394.jpg,"(738, 1024)",738,1024,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/aydin-aghdashloo_unknown-year_9223372032559810394.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/aydin-aghdashloo_unknown-year_9223372032559810394.jpg
Girl and St. Bernard Dog,273768,Steer Philip Wilson,,https://uploads5.wikiart.org/images/philip-wilson-steer/girl-and-st-bernard-dog.jpg!Large.jpg,philip-wilson-steer,genre painting,,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/philip-wilson-steer/unknown-year/273768.jpg,"(466, 319)",466,319,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/philip-wilson-steer_unknown-year_273768.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/philip-wilson-steer_unknown-year_273768.jpg
David Dancing Before the Ark,9223372032559820051,Solomon Simeon,,https://uploads8.wikiart.org/00129/images/simeon-solomon/david-dancing-before-the-ark-by-simeon-solomon-pen-and-ink-1.jpg!Large.jpg,simeon-solomon,religious painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/simeon-solomon/unknown-year/9223372032559820051.jpg,"(1283, 867)",1283,867,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_unknown-year_9223372032559820051.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_unknown-year_9223372032559820051.jpg
Cape in a Village,280763,Solana Jose Gutierrez,1930.0,https://uploads6.wikiart.org/images/jose-gutierrez-solana/cape-in-a-village-1930.jpg!Large.jpg,jose-gutierrez-solana,genre painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/jose-gutierrez-solana/1930/280763.jpg,"(612, 800)",612,800,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jose-gutierrez-solana_1930_280763.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jose-gutierrez-solana_1930_280763.jpg
Constellation,307097,D'Arcangelo Allan,1971.0,https://uploads7.wikiart.org/images/allan-d-arcangelo/constellation-1971.jpg!Large.jpg,allan-d-arcangelo,abstract,,Pop Art,,1.0,wikiart-master/wiki_art_saved/images/allan-d-arcangelo/1971/307097.jpg,"(1200, 1190)",1200,1190,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/allan-d-arcangelo_1971_307097.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/allan-d-arcangelo_1971_307097.jpg
Truck and trailer approaching a city,299097,Smart Jeffrey,1973.0,https://uploads8.wikiart.org/images/jeffrey-smart/truck-and-trailer-approaching-a-city-1973.jpg!Large.jpg,jeffrey-smart,cityscape,,Hyper-Realism,,1.0,wikiart-master/wiki_art_saved/images/jeffrey-smart/1973/299097.jpg,"(614, 306)",614,306,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1973_299097.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1973_299097.jpg
Fruit seller,274753,Snyders Frans,1636.0,https://uploads5.wikiart.org/00142/images/57726d97edc2cb3880b4b1b9/la-frutera-snyders.jpg!Large.jpg,frans-snyders,genre painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/frans-snyders/1636/274753.jpg,"(3051, 2153)",3051,2153,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/frans-snyders_1636_274753.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/frans-snyders_1636_274753.jpg
The Old Mill,260271,Bierstadt Albert,1855.0,https://uploads5.wikiart.org/images/albert-bierstadt/the-old-mill-1855.jpg!Large.jpg,albert-bierstadt,landscape,,Luminism,,1.0,wikiart-master/wiki_art_saved/images/albert-bierstadt/1855/260271.jpg,"(864, 1000)",864,1000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/albert-bierstadt_1855_260271.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/albert-bierstadt_1855_260271.jpg
Prodigal,260443,Bloch Albert,1959.0,https://uploads6.wikiart.org/images/albert-bloch/prodigal-1959.jpg!Large.jpg,albert-bloch,religious painting,,Symbolism,,1.0,wikiart-master/wiki_art_saved/images/albert-bloch/1959/260443.jpg,"(693, 584)",693,584,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/albert-bloch_1959_260443.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/albert-bloch_1959_260443.jpg
Supper at Emmaus,251790,Steen Jan,1668.0,https://uploads2.wikiart.org/images/jan-steen/supper-at-emmaus-1668.jpg!Large.jpg,jan-steen,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/jan-steen/1668/251790.jpg,"(878, 1135)",878,1135,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jan-steen_1668_251790.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jan-steen_1668_251790.jpg
Pastoral Lovers,9223372032559820081,Solomon Simeon,1869.0,https://uploads5.wikiart.org/00129/images/simeon-solomon/simeon-solomon-pastoral-lovers.jpg!Large.jpg,simeon-solomon,pastorale,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/simeon-solomon/1869/9223372032559820081.jpg,"(2339, 3200)",2339,3200,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_1869_9223372032559820081.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_1869_9223372032559820081.jpg
Plane Trees at Céret,9223372032559811644,Soutine Chaim,1920.0,https://uploads2.wikiart.org/00116/images/chaim-soutine/plane-trees-at-c-ret.jpg!Large.jpg,chaim-soutine,landscape,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/chaim-soutine/1920/9223372032559811644.jpg,"(564, 435)",564,435,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/chaim-soutine_1920_9223372032559811644.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/chaim-soutine_1920_9223372032559811644.jpg
Bykerskan,9223372032559837658,Danielson-Gambogi Elin,,https://uploads2.wikiart.org/00223/images/danielson-gambogi-elin/elin-danielson-gambogi-laundress-1900.jpg!Large.jpg,danielson-gambogi-elin,genre painting,,Realism,,1.0,wikiart-master/wiki_art_saved/images/danielson-gambogi-elin/unknown-year/9223372032559837658.jpg,"(3592, 2796)",3592,2796,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/danielson-gambogi-elin_unknown-year_9223372032559837658.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/danielson-gambogi-elin_unknown-year_9223372032559837658.jpg
The Cook,325056,Aertsen Pieter,1559.0,https://uploads8.wikiart.org/images/pieter-aertsen/the-cook-1559.jpg!Large.jpg,pieter-aertsen,genre painting,,Northern Renaissance,,1.0,wikiart-master/wiki_art_saved/images/pieter-aertsen/1559/325056.jpg,"(495, 1024)",495,1024,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/pieter-aertsen_1559_325056.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/pieter-aertsen_1559_325056.jpg
Eve,9223372032559846527,Besnard Paul-Albert,1886.0,https://uploads8.wikiart.org/00272/images/paul-albert-besnard/albert-besnard-eve-1886-nga-4615.jpg!Large.jpg,paul-albert-besnard,"nude painting (nu), religious painting",,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/paul-albert-besnard/1886/9223372032559846527.jpg,"(2894, 4000)",2894,4000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/paul-albert-besnard_1886_9223372032559846527.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/paul-albert-besnard_1886_9223372032559846527.jpg
The Triumph of Galatea,279763,Stella Jacques,,https://uploads8.wikiart.org/images/jacques-stella/the-triumph-of-galatea.jpg!Large.jpg,jacques-stella,mythological painting,,Classicism,,1.0,wikiart-master/wiki_art_saved/images/jacques-stella/unknown-year/279763.jpg,"(419, 480)",419,480,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jacques-stella_unknown-year_279763.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jacques-stella_unknown-year_279763.jpg
Brut (300 TSF) 2,291241,Souza-Cardoso Amadeo de,1917.0,https://uploads5.wikiart.org/images/amadeo-de-souza-cardoso/brut-300-tsf-2-1917.jpg!Large.jpg,amadeo-de-souza-cardoso,still life,,Cubism,,1.0,wikiart-master/wiki_art_saved/images/amadeo-de-souza-cardoso/1917/291241.jpg,"(830, 1089)",830,1089,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/amadeo-de-souza-cardoso_1917_291241.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/amadeo-de-souza-cardoso_1917_291241.jpg
La Supplica,9223372032559859282,Abbati Giuseppe,,https://uploads4.wikiart.org/00313/images/giuseppe-abbati/la-supplica.jpg!Large.jpg,giuseppe-abbati,genre painting,,Realism,,1.0,wikiart-master/wiki_art_saved/images/giuseppe-abbati/unknown-year/9223372032559859282.jpg,"(3305, 4000)",3305,4000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/giuseppe-abbati_unknown-year_9223372032559859282.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/giuseppe-abbati_unknown-year_9223372032559859282.jpg
Slow Movement,298029,Agar Eileen,1970.0,https://uploads1.wikiart.org/images/eileen-agar/slow-movement-1970.jpg!Large.jpg,eileen-agar,figurative,,Surrealism,,1.0,wikiart-master/wiki_art_saved/images/eileen-agar/1970/298029.jpg,"(450, 443)",450,443,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/eileen-agar_1970_298029.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/eileen-agar_1970_298029.jpg
Self Portrait with a Beard,222025,Bonnard Pierre,1925.0,https://uploads8.wikiart.org/images/pierre-bonnard/self-portrait-with-a-beard-1925.jpg!Large.jpg,pierre-bonnard,self-portrait,,Post-Impressionism,,1.0,wikiart-master/wiki_art_saved/images/pierre-bonnard/1925/222025.jpg,"(2025, 1237)",2025,1237,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/pierre-bonnard_1925_222025.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/pierre-bonnard_1925_222025.jpg
Importunate,9223372032559846534,Besnard Paul-Albert,1900.0,https://uploads0.wikiart.org/00272/images/paul-albert-besnard/albert-besnard-importunate-importune-1900-nga-71633.jpg!Large.jpg,paul-albert-besnard,symbolic painting,,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/paul-albert-besnard/1900/9223372032559846534.jpg,"(3051, 4000)",3051,4000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/paul-albert-besnard_1900_9223372032559846534.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/paul-albert-besnard_1900_9223372032559846534.jpg
